Sno,Date,State/UnionTerritory,Total_cases,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,
1,30/01/20,Kerala,1,1,0,0,0,1
,,,,,,,,
3,01/02/20,Kerala,1,1,0,0,0,1
4,02/02/20,Kerala,1,1,0,0,0,2
33,02/03/20,Telengana,1,1,0,0,0,
,,,,,,,,
35,02/03/20,Delhi,1,1,0,0,0,
,,,,,,,,
37,03/03/20,Rajasthan,1,0,1,0,0,
,,,,,,,,
,,,,,,,,
40,04/03/20,Uttar Pradesh,6,6,0,0,0,
,,,,,,,,
42,04/03/20,Haryana,2,0,2,0,0,
,,,,,,,,
,,,,,,,,
45,04/03/20,Rajasthan,14,0,14,0,0,
46,05/03/20,Delhi,1,1,0,0,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
51,05/03/20,Uttar Pradesh,1,1,0,0,0,
52,06/03/20,Delhi,1,1,0,0,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
60,07/03/20,Union Territory of Ladakh,2,2,0,0,0,203
,,,,,,,,
62,07/03/20,Tamil Nadu,1,1,0,0,0,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
70,08/03/20,Kerala,5,5,0,3,0,
,,,,,,,,
,,,,,,,,
73,08/03/20,Uttar Pradesh,6,6,0,0,0,
74,09/03/20,Union Territory of Ladakh,2,2,0,0,0,
75,09/03/20,Karnataka,1,1,0,0,0,
76,09/03/20,Kerala,1,1,0,3,0,
77,09/03/20,Maharashtra,2,2,0,0,0,
78,09/03/20,Punjab,1,1,0,0,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
85,09/03/20,Delhi,1,1,0,0,0,
,,,,,,,,
85,10/03/20,Uttar Pradesh,1,1,0,0,0,
,,,,,,,,
,,,,,,,,
90,10/03/20,Karnataka,3,3,0,0,0,
91,10/03/20,Kerala,6,6,0,3,0,
92,10/03/20,Maharashtra,5,5,0,0,0,
,,,,,,,,
94,10/03/20,Rajasthan,14,0,14,0,0,
,,,,,,,,
,,,,,,,,
97,10/03/20,Union Territory of Jammu and Kashmir,1,1,0,0,0,
,,,,,,,,
98,11/03/20,Maharashtra,2,2,0,0,0,
99,11/03/20,Delhi,5,5,0,0,0,
100,11/03/20,Haryana,14,0,14,0,0,
101,11/03/20,Kerala,17,17,0,3,0,
102,11/03/20,Rajasthan,3,1,2,0,0,
103,11/03/20,Telengana,1,1,0,0,0,
104,11/03/20,Uttar Pradesh,9,9,0,0,0,
105,11/03/20,Union Territory of Ladakh,2,2,0,0,0,
106,11/03/20,Tamil Nadu,1,1,0,0,0,
107,11/03/20,Union Territory of Jammu and Kashmir,1,1,0,0,0,
108,11/03/20,Punjab,1,1,0,0,0,
109,11/03/20,Karnataka,4,4,0,0,0,
,,,,,,,,
110,12/03/20,Delhi,6,6,0,0,0,
111,12/03/20,Haryana,14,0,14,0,0,
112,12/03/20,Kerala,17,17,0,3,0,
113,12/03/20,Rajasthan,3,1,2,0,0,
114,12/03/20,Telengana,1,1,0,0,0,
115,12/03/20,Uttar Pradesh,11,10,1,0,0,
116,12/03/20,Union Territory of Ladakh,3,3,0,0,0,
117,12/03/20,Tamil Nadu,1,1,0,0,0,
118,12/03/20,Union Territory of Jammu and Kashmir,1,1,0,0,0,
119,12/03/20,Punjab,1,1,0,0,0,
120,12/03/20,Karnataka,4,4,0,0,0,
121,12/03/20,Maharashtra,11,11,0,0,0,
122,12/03/20,Andhra Pradesh,1,1,0,0,0,
,,,,,,,,
123,13/03/20,Delhi,6,6,0,0,0,
124,13/03/20,Haryana,14,0,14,0,0,
125,13/03/20,Kerala,19,19,0,3,0,
126,13/03/20,Rajasthan,3,1,2,0,0,
127,13/03/20,Telengana,1,1,0,0,0,
128,13/03/20,Uttar Pradesh,11,10,1,0,0,
129,13/03/20,Union Territory of Ladakh,3,3,0,0,0,
130,13/03/20,Tamil Nadu,1,1,0,0,0,
131,13/03/20,Union Territory of Jammu and Kashmir,1,1,0,0,0,
132,13/03/20,Punjab,1,1,0,0,0,
133,13/03/20,Karnataka,6,6,0,0,1,
134,13/03/20,Maharashtra,14,14,0,0,0,
135,13/03/20,Andhra Pradesh,1,1,0,0,0,
,,,,,,,,
136,14/03/20,Delhi,7,7,0,1,1,
137,14/03/20,Haryana,14,0,14,0,0,
138,14/03/20,Kerala,19,19,0,3,0,
139,14/03/20,Rajasthan,3,1,2,1,0,
140,14/03/20,Telengana,1,1,0,0,0,
141,14/03/20,Uttar Pradesh,12,11,1,5,0,
142,14/03/20,Union Territory of Ladakh,3,3,0,0,0,
143,14/03/20,Tamil Nadu,1,1,0,0,0,
144,14/03/20,Union Territory of Jammu and Kashmir,2,2,0,0,0,
145,14/03/20,Punjab,1,1,0,0,0,
146,14/03/20,Karnataka,6,6,0,0,1,
147,14/03/20,Maharashtra,14,14,0,0,0,
148,14/03/20,Andhra Pradesh,1,1,0,0,0,
,,,,,,,,
149,15/03/20,Andhra Pradesh,1,1,0,0,0,
150,15/03/20,Delhi,7,7,0,2,1,
151,15/03/20,Haryana,14,0,14,0,0,
152,15/03/20,Karnataka,6,6,0,0,1,
153,15/03/20,Kerala,22,22,0,3,0,
154,15/03/20,Maharashtra,32,32,0,0,0,
155,15/03/20,Punjab,1,1,0,0,0,
156,15/03/20,Rajasthan,4,2,2,3,0,
157,15/03/20,Tamil Nadu,1,1,0,0,0,
158,15/03/20,Telengana,3,3,0,1,0,
159,15/03/20,Union Territory of Jammu and Kashmir,2,2,0,0,0,
160,15/03/20,Union Territory of Ladakh,3,3,0,0,0,
161,15/03/20,Uttar Pradesh,13,12,1,4,0,
162,15/03/20,Uttarakhand,1,1,0,0,0,
,,,,,,,,
163,16/03/20,Andhra Pradesh,1,1,0,0,0,
164,16/03/20,Delhi,7,7,0,2,1,
165,16/03/20,Haryana,14,0,14,0,0,
166,16/03/20,Karnataka,6,6,0,0,1,
167,16/03/20,Kerala,23,23,0,3,0,
168,16/03/20,Maharashtra,32,32,0,0,0,
169,16/03/20,Odisha,1,1,0,0,0,
170,16/03/20,Punjab,1,1,0,0,0,
171,16/03/20,Rajasthan,4,2,2,3,0,
172,16/03/20,Tamil Nadu,1,1,0,0,0,
173,16/03/20,Telengana,3,3,0,1,0,
174,16/03/20,Union Territory of Jammu and Kashmir,3,3,0,0,0,
175,16/03/20,Union Territory of Ladakh,4,4,0,0,0,
176,16/03/20,Uttar Pradesh,13,12,1,4,0,
177,16/03/20,Uttarakhand,1,1,0,0,0,
,,,,,,,,
178,17/03/20,Andhra Pradesh,1,1,0,0,0,
179,17/03/20,Delhi,8,8,0,2,1,
180,17/03/20,Haryana,15,1,14,0,0,
181,17/03/20,Karnataka,11,11,0,0,1,
182,17/03/20,Kerala,26,24,2,3,0,
183,17/03/20,Maharashtra,39,36,3,0,1,
184,17/03/20,Odisha,1,1,0,0,0,
185,17/03/20,Punjab,1,1,0,0,0,
186,17/03/20,Rajasthan,4,2,2,3,0,
187,17/03/20,Tamil Nadu,1,1,0,0,0,
188,17/03/20,Telengana,5,3,2,1,0,
189,17/03/20,Union Territory of Jammu and Kashmir,3,3,0,0,0,
190,17/03/20,Union Territory of Ladakh,6,6,0,0,0,
191,17/03/20,Uttar Pradesh,15,14,1,5,0,
192,17/03/20,Uttarakhand,1,1,0,0,0,
193,18/03/20,Andhra Pradesh,1,1,0,0,0,
,,,,,,,,
194,18/03/20,Delhi,10,9,1,2,1,
195,18/03/20,Haryana,17,3,14,0,0,
196,18/03/20,Karnataka,11,11,0,0,1,
197,18/03/20,Kerala,27,25,2,3,0,
198,18/03/20,Maharashtra,42,39,3,0,1,
199,18/03/20,Odisha,1,1,0,0,0,
200,18/03/20,Pondicherry,1,1,0,0,0,
201,18/03/20,Punjab,1,1,0,0,0,
202,18/03/20,Rajasthan,4,2,2,3,0,
203,18/03/20,Tamil Nadu,1,1,0,0,0,
204,18/03/20,Telengana,6,4,2,1,0,
205,18/03/20,Union Territory of Jammu and Kashmir,3,3,0,0,0,
206,18/03/20,Union Territory of Ladakh,8,8,0,0,0,
207,18/03/20,Uttar Pradesh,16,15,1,5,0,
208,18/03/20,Uttarakhand,1,1,0,0,0,
209,18/03/20,West Bengal,1,1,0,0,0,
,,,,,,,,
210,19/03/20,Andhra Pradesh,2,2,0,0,0,
211,19/03/20,Chattisgarh,1,1,0,0,0,
212,19/03/20,Delhi,12,11,1,3,1,
213,19/03/20,Haryana,17,3,14,0,0,
214,19/03/20,Karnataka,14,14,0,0,1,
215,19/03/20,Kerala,27,25,2,3,0,
216,19/03/20,Maharashtra,47,44,3,0,1,
217,19/03/20,Odisha,1,1,0,0,0,
218,19/03/20,Pondicherry,1,1,0,0,0,
219,19/03/20,Punjab,2,2,0,0,1,
220,19/03/20,Rajasthan,7,5,2,3,0,
221,19/03/20,Tamil Nadu,2,2,0,1,0,
222,19/03/20,Telengana,6,4,2,1,0,
223,19/03/20,Union Territory of Chandigarh,1,1,0,0,0,
224,19/03/20,Union Territory of Jammu and Kashmir,4,4,0,0,0,
225,19/03/20,Union Territory of Ladakh,8,8,0,0,0,
226,19/03/20,Uttar Pradesh,19,18,1,9,0,
227,19/03/20,Uttarakhand,1,1,0,0,0,
228,19/03/20,West Bengal,1,1,0,0,0,
,,,,,,,,
229,20/03/20,Andhra Pradesh,3,3,0,0,0,
230,20/03/20,Chhattisgarh,1,1,0,0,0,
231,20/03/20,Delhi,17,16,1,5,1,
232,20/03/20,Gujarat,5,5,0,0,0,
233,20/03/20,Haryana,17,3,14,0,0,
234,20/03/20,Karnataka,15,15,0,1,1,
235,20/03/20,Kerala,28,26,2,3,0,
236,20/03/20,Maharashtra,52,49,3,0,1,
237,20/03/20,Odisha,2,2,0,0,0,
238,20/03/20,Puducherry,1,1,0,0,0,
239,20/03/20,Punjab,2,2,0,0,1,
240,20/03/20,Rajasthan,17,15,2,3,0,
241,20/03/20,Tamil Nadu,3,3,0,1,0,
242,20/03/20,Telengana,17,8,9,1,0,
243,20/03/20,Union Territory of Chandigarh,1,1,0,0,0,
244,20/03/20,Union Territory of Jammu and Kashmir,4,4,0,0,0,
245,20/03/20,Union Territory of Ladakh,10,10,0,0,0,
246,20/03/20,Uttar Pradesh,23,22,1,9,0,
247,20/03/20,Uttarakhand,3,3,0,0,0,
248,20/03/20,West Bengal,2,2,0,0,0,
